path_id,length,diagnosis,path
0,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
1,5,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> MDS_Diagnosis
2,4,Folate_Deficiency_Diagnosis,Start -> CBC -> B12_Folate_Test -> Folate_Deficiency_Diagnosis
3,5,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
4,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
5,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
6,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
7,5,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Disease_Anemia_Diagnosis
8,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
9,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
10,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
11,7,Chronic_Kidney_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Kidney_Disease_Anemia_Diagnosis
12,6,Chronic_Kidney_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Kidney_Disease_Anemia_Diagnosis
13,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
14,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
15,6,Thalassemia_Diagnosis,Start -> CBC -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
16,8,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Peripheral_Blood_Smear -> Bone_Marrow_Biopsy -> MDS_Diagnosis
17,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
18,6,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Disease_Anemia_Diagnosis
19,5,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
20,6,IDA_Diagnosis,Start -> CBC -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
