item_type,item_id,category,cpt_code,cost_usd,description
imaging,Radiograph | ABDOMEN (SUPINE & ERECT),Unmapped_MIMIC,74019,75.0,Occurred 155 times in dataset. Accurate CMS PFS.
imaging,CTU | CTU (ABD/PEL) W/&W/O CONTRAST,Unmapped_MIMIC,74178,985.0,Occurred 8 times in dataset. Accurate CMS PFS.
imaging,Radiograph | PORTABLE ABDOMEN,Unmapped_MIMIC,74019,75.0,Occurred 133 times in dataset. Accurate CMS PFS.
imaging,Drainage | CT PERITINEAL DRAIN EXCLUDING APPENDICEAL,Unmapped_MIMIC,49406,348.0,Occurred 12 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABDOMEN (SUPINE ONLY),Unmapped_MIMIC,74019,75.0,Occurred 6 times in dataset. Accurate CMS PFS.
imaging,"Radiograph | BILAT HIPS (AP,LAT & AP PELVIS)",Unmapped_MIMIC,72170,65.0,Occurred 2 times in dataset. Accurate CMS PFS.
imaging,CTU | CTU (ABD/PEL) W/O CONTRAST,Unmapped_MIMIC,74176,630.0,Occurred 8 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABDOMEN (SUPINE ONLY) PORT,Unmapped_MIMIC,74019,75.0,Occurred 8 times in dataset. Accurate CMS PFS.
imaging,CTU | CTU (ABD/PEL) W/CONTRAST,Unmapped_MIMIC,74177,805.0,Occurred 4 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABD (SINGLE VIEW ONLY),Unmapped_MIMIC,74019,75.0,Occurred 4 times in dataset. Accurate CMS PFS.
imaging,"Drainage | PERC IMAGE GUID FLUID COLLECT DRAIN W CATH(ABSC,HEMA/SEROMA;LYMPHOCELE,CYST);PERIT/RETROPERITONEAL",Unmapped_MIMIC,49406,348.0,Occurred 7 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABDOMEN (SUPINE & ERECT) PORT,Unmapped_MIMIC,74019,75.0,Occurred 9 times in dataset. Accurate CMS PFS.
imaging,Radiograph | PORTABLE ABDOMEN IN O.R.,Unmapped_MIMIC,74019,75.0,Occurred 3 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABDOMEN (SUPINE ONLY) IN O.R.,Unmapped_MIMIC,74019,75.0,Occurred 4 times in dataset. Accurate CMS PFS.
imaging,ERCP | ERCP BILIARY&PANCREAS BY GI UNIT,Unmapped_MIMIC,43260,443.0,Occurred 86 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABD (SINGLE VIEW ONLY) IN O.R.,Unmapped_MIMIC,74019,75.0,Occurred 5 times in dataset. Accurate CMS PFS.
imaging,ERCP | ERCP BILIARY ONLY BY GI UNIT,Unmapped_MIMIC,43260,443.0,Occurred 12 times in dataset. Accurate CMS PFS.
imaging,Fluoroscopy | CHEST FLUORO,Unmapped_MIMIC,76000,85.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,CTU | LUMBAR PUNCTURE (W/ FLUORO),Unmapped_MIMIC,74177,785.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Carotid ultrasound | CAROTID SERIES COMPLETE,Unmapped_MIMIC,93880,190.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,MRE | MR ENTEROGRAPHY (74183&72197) SBFT,Unmapped_MIMIC,74183,2325.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Upper GI Series | BAS/UGI AIR/SBFT,Unmapped_MIMIC,74246,130.0,Occurred 2 times in dataset. Accurate CMS PFS.
imaging,"Radiograph | ANKLE (AP, MORTISE & LAT) RIGHT",Unmapped_MIMIC,73600,55.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,"Radiograph | SHOULDER (AP, NEUTRAL & AXILLARY) TRAUMA LEFT",Unmapped_MIMIC,73020,55.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABD SUPINE & LAT DECUB PORT,Unmapped_MIMIC,74019,75.0,Occurred 2 times in dataset. Accurate CMS PFS.
imaging,Radiograph | PELVIS AP 1-2 VIEWS,Unmapped_MIMIC,72170,65.0,Occurred 2 times in dataset. Accurate CMS PFS.
imaging,Radiograph | ABD SUPINE & LAT DECUB,Unmapped_MIMIC,74019,75.0,Occurred 5 times in dataset. Accurate CMS PFS.
imaging,"Radiograph | KNEE (AP, LAT & OBLIQUE) RIGHT",Unmapped_MIMIC,73560,55.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,"Radiograph | SHOULDER (AP, NEUTRAL & AXILLARY) SOFT TISSUE RIGHT",Unmapped_MIMIC,73020,55.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,"Radiograph | FOOT AP,LAT & OBL RIGHT",Unmapped_MIMIC,73620,55.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Radiograph | LUMBO-SACRAL SPINE (AP & LAT),Unmapped_MIMIC,72100,60.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,MRA | MRA CHEST W&W/O CONTRAST,Unmapped_MIMIC,71555,1050.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Radiograph | TRAUMA #2 (AP CXR & PELVIS PORT),Unmapped_MIMIC,72170,65.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Radiograph | L-SPINE (AP & LAT) IN O.R.,Unmapped_MIMIC,72100,60.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,PTC | PERC TRANSHEPATIC CHOLANGIOGRAPHY,Unmapped_MIMIC,47500,350.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Radiograph | PELVIS (AP ONLY),Unmapped_MIMIC,72170,65.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,Fluoroscopy | HIP NAILING IN OR W/FILMS & FLUORO LEFT,Unmapped_MIMIC,76000,85.0,Occurred 1 times in dataset. Accurate CMS PFS.
imaging,"Radiograph | FOOT AP,LAT & OBL LEFT",Unmapped_MIMIC,73620,55.0,Occurred 1 times in dataset. Accurate CMS PFS.
