disease,gap,n,n_pos,n_neg,base_rate,l1_cv_auc,l1_best_C,l1_n_nonzero,rf_cv_auc,status
appendicitis,commission,71,32,39,0.4507042253521127,0.9238782051282052,21.54434690031882,18.0,0.9038461538461539,
appendicitis,omission,71,22,49,0.30985915492957744,0.8385899814471245,21.54434690031882,22.0,0.8543599257884973,
appendicitis,order_swap,71,5,66,0.07042253521126761,0.5,166.81005372000558,17.0,0.6696969696969697,
cholecystitis,commission,93,62,31,0.6666666666666666,0.5819458896982309,2.782559402207126,27.0,0.611862643080125,
cholecystitis,omission,93,29,64,0.3118279569892473,0.7343750000000001,2.782559402207126,19.0,0.8141163793103449,
cholecystitis,order_swap,93,1,92,0.010752688172043012,,,,,skipped_degenerate
diverticulitis,commission,35,19,16,0.5428571428571428,0.37500000000000006,0.3593813663804626,1.0,0.5493421052631579,
diverticulitis,omission,35,0,35,0.0,,,,,skipped_degenerate
diverticulitis,order_swap,35,0,35,0.0,,,,,skipped_degenerate
pancreatitis,commission,101,69,32,0.6831683168316832,0.765625,2.782559402207126,24.0,0.7807971014492754,
pancreatitis,omission,101,37,64,0.36633663366336633,0.6161317567567567,21.54434690031882,30.0,0.6575168918918919,
pancreatitis,order_swap,101,3,98,0.0297029702970297,0.5,2.782559402207126,10.0,0.7619047619047619,
