feature,importance
WBC_gt_10k,0.2756482940673133
RLQ_tenderness,0.19519615887043104
anorexia,0.08663429549723188
symptom_duration_over_72h,0.06709720167524734
nausea_vomiting,0.05118844180700263
bowel_habit_change,0.03328321560397211
pain_location_RLQ,0.030457335535268634
is_female_reproductive_age,0.030138110516839966
RUQ_tenderness,0.028551712240220774
peritoneal_signs,0.02297859173253238
fever_temp_ge_37_3,0.019205029500025284
LFTs_elevated,0.017679711749835885
has_organ_dysfunction,0.016682121512613588
rebound_tenderness,0.01630531543784629
SIRS_criteria_ge_2,0.014399892103107345
left_shift,0.01357320376546413
pain_location_Other,0.01189061101510695
WBC_gt_18k,0.010524878887970773
BUN_gt_25,0.010222687608661487
pain_migration_to_RLQ,0.00864307060032283
creatinine_elevated,0.00819539893728054
bilirubin_elevated,0.007945366125224083
pain_location_Epigastric,0.004736999897527295
pain_location_General_Abdomen,0.0044887829868680605
prior_diverticular_disease,0.0041801855746360335
pain_location_RUQ,0.003919946181470447
pain_location_Periumbilical,0.003339981451939939
alcohol_history,0.0023843211549075594
gallstone_history,0.00042677888257511905
age_gt_60,8.235908055625065e-05
impaired_mental_status,0.0
beta_hCG_positive,0.0
fever_temp_ge_38,0.0
