feature,coef,abs_coef
bowel_habit_change,-15.908571012482005,15.908571012482005
WBC_gt_18k,-14.178763712644022,14.178763712644022
rebound_tenderness,9.778206748428083,9.778206748428083
pain_location_RLQ,-9.607207738799271,9.607207738799271
left_shift,8.246205046028196,8.246205046028196
BUN_gt_25,-7.453039433736594,7.453039433736594
WBC_gt_10k,7.053210961282065,7.053210961282065
symptom_duration_over_72h,-6.827793440385307,6.827793440385307
LFTs_elevated,-4.9465591150616435,4.9465591150616435
bilirubin_elevated,-4.348306077815373,4.348306077815373
anorexia,-3.6609090696769417,3.6609090696769417
pain_location_Other,3.4987027302521927,3.4987027302521927
SIRS_criteria_ge_2,-3.252441463711527,3.252441463711527
nausea_vomiting,-3.0253594075632066,3.0253594075632066
RLQ_tenderness,1.7991415526967034,1.7991415526967034
peritoneal_signs,-0.8882498932176791,0.8882498932176791
is_female_reproductive_age,-0.6012188470183757,0.6012188470183757
