feature,importance
RUQ_tenderness,0.13345764182922204
symptom_duration_over_72h,0.07731388927051686
WBC_gt_10k,0.06180079670530076
nausea_vomiting,0.05461998092370992
LFTs_elevated,0.05386700876197238
fever_reported_in_hpi,0.05223354314320289
WBC_gt_18k,0.043047033497299735
gallstone_history,0.04297782630680278
BUN_gt_25,0.04183639835525694
bowel_habit_change,0.040557812324034555
RLQ_tenderness,0.03781551554989062
age_gt_60,0.032654488020598164
bilirubin_elevated,0.03128784256913649
creatinine_elevated,0.030722389977278948
has_organ_dysfunction,0.028034415230221824
pain_location_Other,0.027344389007151908
is_female_reproductive_age,0.026618115347934648
anorexia,0.025046582033648155
pain_location_RUQ,0.023711263308139722
alcohol_history,0.01900307434993795
prior_diverticular_disease,0.017875024463962576
SIRS_criteria_ge_2,0.017765553419069446
epigastric_radiating_to_back,0.016987986654274066
peritoneal_signs,0.012409175897830107
fever_temp_ge_37_3,0.010263851771168267
RUQ_mass,0.009728440914860179
lipase_ge_3xULN,0.007661591624300537
impaired_mental_status,0.007440810927671239
pain_location_Epigastric,0.005613929882132389
pain_location_General_Abdomen,0.005465906785746691
pain_location_RLQ,0.003411837164185796
left_shift,0.0014258839835413794
fever_temp_ge_38,0.0
rebound_tenderness,0.0
murphys_sign,0.0
pain_location_LUQ,0.0
