feature,importance
pain_location_LLQ,0.142518266481154
WBC_gt_18k,0.1113267755810669
bowel_habit_change,0.09133078806983524
pain_location_Other,0.05883516643764117
symptom_duration_over_72h,0.051977193053085645
creatinine_elevated,0.05171487192274261
peritoneal_signs,0.04881058269757632
nausea_vomiting,0.04449931708924512
WBC_gt_10k,0.04436692758626979
LFTs_elevated,0.03874931742133924
has_organ_dysfunction,0.03533730479439476
BUN_gt_25,0.03317291658429041
pain_location_Pelvic,0.028520956466898627
prior_diverticular_disease,0.025456922671355173
RLQ_tenderness,0.023028561390951063
age_gt_60,0.021745246327348144
SIRS_criteria_ge_2,0.018363938772881616
pain_location_RLQ,0.01695125775294641
pain_location_RUQ,0.01687892047643355
pain_location_Periumbilical,0.015159408158896793
RUQ_tenderness,0.014420063378943433
alcohol_history,0.013368255163978089
left_shift,0.012236167524904725
pain_location_General_Abdomen,0.012000418522215972
bilirubin_elevated,0.010358042509873426
anorexia,0.007954958896956906
CRP_elevated,0.007592300362211767
impaired_mental_status,0.001981199722700051
rebound_tenderness,0.00134395418186283
is_female_reproductive_age,0.0
pain_location_Epigastric,0.0
lipase_ge_3xULN,0.0
CRP_gt_200,0.0
fever_temp_ge_37_3,0.0
RUQ_mass,0.0
fever_temp_ge_38,0.0
