feature,coef,abs_coef
pain_location_Other,4.009796279823824,4.009796279823824
prior_diverticular_disease,3.0351981845834897,3.0351981845834897
anorexia,2.2930184990446634,2.2930184990446634
RUQ_tenderness,2.1290593576129684,2.1290593576129684
fever_temp_ge_37_3,-2.087946558238704,2.087946558238704
peritoneal_signs,1.5758651636458436,1.5758651636458436
BUN_gt_25,1.4526595441253236,1.4526595441253236
is_female_reproductive_age,1.3593019707539578,1.3593019707539578
lipase_ge_3xULN,-1.2526200428548417,1.2526200428548417
LFTs_elevated,-1.1796140005935851,1.1796140005935851
pain_location_RUQ,1.0567828758538107,1.0567828758538107
nausea_vomiting,-0.9755227413581561,0.9755227413581561
creatinine_elevated,-0.9693489650166992,0.9693489650166992
RLQ_tenderness,0.8933655704278453,0.8933655704278453
pain_location_LUQ,-0.6219026259614154,0.6219026259614154
symptom_duration_over_72h,-0.5872307091561871,0.5872307091561871
SIRS_criteria_ge_2,0.5691594886355048,0.5691594886355048
pain_location_Pelvic,-0.4687539434307961,0.4687539434307961
impaired_mental_status,0.4509333210726465,0.4509333210726465
epigastric_radiating_to_back,-0.45041741432275934,0.45041741432275934
bowel_habit_change,0.39889545695719536,0.39889545695719536
has_organ_dysfunction,-0.34196997033239457,0.34196997033239457
WBC_gt_10k,-0.30861974391355224,0.30861974391355224
alcohol_history,0.30467147459150307,0.30467147459150307
