feature,importance
RUQ_tenderness,0.1024869558892376
LFTs_elevated,0.07723221990693441
lipase_ge_3xULN,0.073513045431184
pain_location_Other,0.07078699563520933
pain_location_Epigastric,0.06708871370119715
nausea_vomiting,0.04887205124267218
is_female_reproductive_age,0.048542877178681366
symptom_duration_over_72h,0.04725754513019254
epigastric_radiating_to_back,0.04539216981896845
pain_location_RUQ,0.04519768843218653
bowel_habit_change,0.04071121136963309
BUN_gt_25,0.037887577991273014
has_organ_dysfunction,0.03599657725318956
alcohol_history,0.028305558742348212
gallstone_history,0.027485061454563982
WBC_gt_10k,0.02728059706804693
bilirubin_elevated,0.026521097655334613
creatinine_elevated,0.024549064539232807
prior_diverticular_disease,0.01957559341508988
pain_location_LUQ,0.01908782297380606
anorexia,0.018145616289837924
age_gt_60,0.014047287243729563
fever_temp_ge_37_3,0.012394945096756059
peritoneal_signs,0.010332069333143389
WBC_gt_18k,0.008668605441663403
impaired_mental_status,0.007511533725739218
SIRS_criteria_ge_2,0.007280294948789932
left_shift,0.002259836029526789
pain_location_General_Abdomen,0.0021704155429965034
RLQ_tenderness,0.0020770814427637486
pain_location_Pelvic,0.0009834652612347563
CRP_elevated,0.0003584248148370391
pain_location_Periumbilical,0.0
CRP_gt_200,0.0
pain_location_RLQ,0.0
murphys_sign,0.0
rebound_tenderness,0.0
