feature,importance
lipase_ge_3xULN,0.15238141198212857
pain_location_Epigastric,0.09280851574896991
WBC_gt_10k,0.06343493794034927
nausea_vomiting,0.05228036394712008
LFTs_elevated,0.051612651736484855
symptom_duration_over_72h,0.04229839883269372
bilirubin_elevated,0.04126455621927788
pain_location_RUQ,0.03920641926900613
bowel_habit_change,0.03832403365774146
is_female_reproductive_age,0.03774674105380875
has_organ_dysfunction,0.03607116716926801
alcohol_history,0.03390313028956873
epigastric_radiating_to_back,0.03178756664639923
prior_diverticular_disease,0.031669549617812265
gallstone_history,0.0292151491144805
RUQ_tenderness,0.027799677864889075
pain_location_Other,0.02769238132510591
creatinine_elevated,0.025052727693702058
BUN_gt_25,0.02240968746766449
age_gt_60,0.019986126061088263
fever_temp_ge_37_3,0.017241974997921367
WBC_gt_18k,0.013683472492359608
impaired_mental_status,0.013258757023025612
anorexia,0.012908223951141143
SIRS_criteria_ge_2,0.011143003833480651
peritoneal_signs,0.009680951557784654
pain_location_General_Abdomen,0.009249073222889675
pain_location_LUQ,0.008347998763624775
RLQ_tenderness,0.002886739265977244
pain_location_Pelvic,0.0022592126121227965
CRP_elevated,0.0013409549173559775
left_shift,0.0010544437247572878
murphys_sign,0.0
CRP_gt_200,0.0
pain_location_Periumbilical,0.0
pain_location_RLQ,0.0
rebound_tenderness,0.0
