feature,importance
WBC_gt_18k,0.15541797918599928
bowel_habit_change,0.11564238190801303
BUN_gt_25,0.10682331661813188
alcohol_history,0.07939534856419474
WBC_gt_10k,0.07687000198437424
anorexia,0.06217081467867357
bilirubin_elevated,0.046069293163982034
pain_location_RUQ,0.03894057211197178
age_gt_60,0.03440208970812796
gallstone_history,0.03345522342611217
left_shift,0.03329965978099983
epigastric_radiating_to_back,0.031333299107033204
symptom_duration_over_72h,0.028673294052436134
SIRS_criteria_ge_2,0.028429587510417863
LFTs_elevated,0.02393106466878008
has_organ_dysfunction,0.021999983601699614
creatinine_elevated,0.01904815657583355
pain_location_Epigastric,0.017289574131090193
nausea_vomiting,0.012263426565088796
RUQ_tenderness,0.011926034472827335
is_female_reproductive_age,0.00927476824698042
lipase_ge_3xULN,0.00881417519203434
pain_location_Other,0.0027741555593455078
peritoneal_signs,0.0006795807338058919
prior_diverticular_disease,0.0003061268216962823
impaired_mental_status,0.0002559721262084251
pain_location_LUQ,0.00019811379714039623
fever_temp_ge_37_3,0.00016120393494898762
pain_location_General_Abdomen,0.00015480177205244743
pain_location_Pelvic,6.92641421495394e-19
pain_location_Periumbilical,0.0
murphys_sign,0.0
pain_location_RLQ,0.0
CRP_gt_200,0.0
CRP_elevated,0.0
RLQ_tenderness,0.0
rebound_tenderness,0.0
