feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
WBC_gt_10k,0.40625,0.9487179487179487,50,0.03698435277382646,-3.0757749812275272,6.005544157369586e-07,1.9818295719319636e-05
RLQ_tenderness,0.40625,0.7948717948717948,44,0.1765704584040747,-1.677646162460634,0.0012615927338233248,0.02081628010808486
anorexia,0.0625,0.3076923076923077,14,0.15,-1.7129785913749407,0.01485231775782863,0.16337549533611492
symptom_duration_over_72h,0.375,0.15384615384615385,18,3.3,1.1450470200933223,0.05369850590233945,0.4430126736943004
RUQ_tenderness,0.15625,0.02564102564102564,6,7.037037037037037,1.6357552207514738,0.08394472160778055,0.5540351626113516
nausea_vomiting,0.5,0.6923076923076923,43,0.4444444444444444,-0.7884573603642702,0.14318708375047662,0.7875289606276215
pain_location_Periumbilical,0.0625,0.0,2,inf,1.8680119007278106,0.19959758551307846,0.8233400402414487
prior_diverticular_disease,0.0625,0.0,2,inf,1.8680119007278106,0.19959758551307846,0.8233400402414487
fever_temp_ge_37_3,0.0625,0.15384615384615385,8,0.36666666666666664,-0.8616926898097816,0.2805916385437103,0.9295774647887324
rebound_tenderness,0.03125,0.10256410256410256,5,0.28225806451612906,-0.979067138018327,0.36955749844334546,0.9295774647887324
left_shift,0.03125,0.10256410256410256,5,0.28225806451612906,-0.979067138018327,0.36955749844334546,0.9295774647887324
has_organ_dysfunction,0.125,0.05128205128205128,6,2.642857142857143,0.8622235106038793,0.39864168440389675,0.9295774647887324
pain_location_RLQ,0.65625,0.7692307692307693,51,0.5727272727272728,-0.540728985242458,0.4268963458848819,0.9295774647887324
is_female_reproductive_age,0.34375,0.23076923076923078,20,1.746031746031746,0.540728985242458,0.426896345884882,0.9295774647887324
beta_hCG_positive,0.03125,0.0,1,inf,1.3249254147435985,0.4507042253521127,0.9295774647887324
fever_temp_ge_38,0.03125,0.0,1,inf,1.3249254147435985,0.4507042253521127,0.9295774647887324
pain_migration_to_RLQ,0.0,0.05128205128205128,2,0.0,-1.466337068793427,0.4977867203219316,0.9647694475028311
LFTs_elevated,0.1875,0.1282051282051282,11,1.5692307692307692,0.4308686757083038,0.5274008707942808,0.9647694475028311
pain_location_RUQ,0.0625,0.02564102564102564,3,2.533333333333333,0.7437571814463633,0.5851281602659434,0.9647694475028311
pain_location_Epigastric,0.03125,0.07692307692307693,4,0.3870967741935484,-0.6999731456303452,0.6217344990660073,0.9647694475028311
bilirubin_elevated,0.09375,0.05128205128205128,5,1.9137931034482758,0.5764229062518039,0.6518451857075191,0.9647694475028311
WBC_gt_18k,0.0625,0.10256410256410256,6,0.5833333333333334,-0.43598065203411485,0.6834956233704719,0.9647694475028311
pain_location_Other,0.125,0.07692307692307693,7,1.7142857142857142,0.49872260159474713,0.6932342195744575,0.9647694475028311
BUN_gt_25,0.09375,0.1282051282051282,8,0.7034482758620689,-0.29541606305151735,0.7219935114893523,0.9647694475028311
SIRS_criteria_ge_2,0.125,0.1794871794871795,11,0.6530612244897959,-0.3794896217049037,0.7434087830351219,0.9647694475028311
peritoneal_signs,0.15625,0.20512820512820512,13,0.7175925925925926,-0.2995165300987837,0.7601213828810185,0.9647694475028311
bowel_habit_change,0.375,0.38461538461538464,27,0.96,-0.03686314821062663,1.0,1.0
creatinine_elevated,0.125,0.10256410256410256,8,1.25,0.21962860920676536,1.0,1.0
gallstone_history,0.03125,0.02564102564102564,2,1.2258064516129032,0.20067069546215124,1.0,1.0
age_gt_60,0.03125,0.02564102564102564,2,1.2258064516129032,0.20067069546215124,1.0,1.0
alcohol_history,0.0625,0.05128205128205128,4,1.2333333333333334,0.2066142493629992,1.0,1.0
impaired_mental_status,0.0,0.02564102564102564,1,0.0,-0.929194136710063,1.0,1.0
pain_location_General_Abdomen,0.0625,0.05128205128205128,4,1.2333333333333334,0.2066142493629992,1.0,1.0
