feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
WBC_gt_10k,1.0,0.5714285714285714,50,inf,3.524811337629332,0.00012616143576409282,0.004163327380215063
is_female_reproductive_age,0.09090909090909091,0.3673469387755102,20,0.17222222222222222,-1.5719173405228992,0.021744326744330366,0.2746197363100878
left_shift,0.18181818181818182,0.02040816326530612,5,10.666666666666666,2.062405354527268,0.029552357086366735,0.2746197363100878
RLQ_tenderness,0.8181818181818182,0.5306122448979592,44,3.980769230769231,1.293549023465942,0.03328724076485912,0.2746197363100878
bowel_habit_change,0.5454545454545454,0.30612244897959184,27,2.72,0.974472687256891,0.0679630018801117,0.35141475451172505
nausea_vomiting,0.7727272727272727,0.5306122448979592,43,3.0076923076923077,1.03730847684898,0.06850203057700384,0.35141475451172505
SIRS_criteria_ge_2,0.2727272727272727,0.10204081632653061,11,3.3,1.159182892928826,0.08359823120595906,0.35141475451172505
pain_location_Epigastric,0.13636363636363635,0.02040816326530612,4,7.578947368421052,1.75844719276094,0.08519145563920608,0.35141475451172505
BUN_gt_25,0.22727272727272727,0.061224489795918366,8,4.509803921568627,1.4292365554068995,0.09705468578337043,0.35586718120569155
anorexia,0.3181818181818182,0.14285714285714285,14,2.8,1.0086640520051702,0.11080579264797011,0.36565911573830134
peritoneal_signs,0.2727272727272727,0.14285714285714285,13,2.25,0.8030428513831629,0.2033308916318684,0.6099926748956052
creatinine_elevated,0.18181818181818182,0.08163265306122448,8,2.5,0.8999415938726256,0.24273140701438312,0.6161643408826648
fever_temp_ge_37_3,0.18181818181818182,0.08163265306122448,8,2.5,0.8999415938726256,0.24273140701438312,0.6161643408826648
impaired_mental_status,0.045454545454545456,0.0,1,inf,1.9325320231091372,0.3098591549295775,0.7303822937625756
WBC_gt_18k,0.13636363636363635,0.061224489795918366,6,2.4210526315789473,0.8690378470236095,0.36534395132869213,0.8037566929231227
age_gt_60,0.045454545454545456,0.02040816326530612,2,2.2857142857142856,0.8135108628098204,0.5267605633802815,0.9616847375814993
gallstone_history,0.045454545454545456,0.02040816326530612,2,2.2857142857142856,0.8135108628098204,0.5267605633802815,0.9616847375814993
pain_location_RUQ,0.0,0.061224489795918366,3,0.0,-1.219973145672377,0.5473361910593999,0.9616847375814993
alcohol_history,0.09090909090909091,0.04081632653061224,4,2.35,0.8403048248962329,0.5828392348978784,0.9616847375814993
pain_location_General_Abdomen,0.09090909090909091,0.04081632653061224,4,2.35,0.8403048248962329,0.5828392348978784,0.9616847375814993
bilirubin_elevated,0.09090909090909091,0.061224489795918366,5,1.5333333333333334,0.4825551898277352,0.6419888956213134,1.0
LFTs_elevated,0.18181818181818182,0.14285714285714285,11,1.3333333333333333,0.32090772008010127,0.7287665027818899,1.0
pain_location_RLQ,0.6818181818181818,0.7346938775510204,51,0.7738095238095238,-0.2686855717611259,0.7764448644613755,1.0
symptom_duration_over_72h,0.2727272727272727,0.24489795918367346,18,1.15625,0.16705408466316624,0.7774599754999411,1.0
pain_location_Other,0.09090909090909091,0.10204081632653061,7,0.88,-0.013393057336438136,1.0,1.0
beta_hCG_positive,0.0,0.02040816326530612,1,0.0,-0.3305637999350466,1.0,1.0
prior_diverticular_disease,0.0,0.04081632653061224,2,0.0,-0.8622235106038793,1.0,1.0
pain_migration_to_RLQ,0.0,0.04081632653061224,2,0.0,-0.8622235106038793,1.0,1.0
fever_temp_ge_38,0.0,0.02040816326530612,1,0.0,-0.3305637999350466,1.0,1.0
has_organ_dysfunction,0.09090909090909091,0.08163265306122448,6,1.125,0.20950077491042318,1.0,1.0
rebound_tenderness,0.045454545454545456,0.08163265306122448,5,0.5357142857142857,-0.34895289784482203,1.0,1.0
pain_location_Periumbilical,0.0,0.04081632653061224,2,0.0,-0.8622235106038793,1.0,1.0
RUQ_tenderness,0.09090909090909091,0.08163265306122448,6,1.125,0.20950077491042318,1.0,1.0
