feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
bowel_habit_change,0.0,0.4090909090909091,27,0.0,-2.03578060556382,0.1489210101238035,1.0
pain_location_General_Abdomen,0.2,0.045454545454545456,4,5.25,1.7996646487351682,0.25823997694607537,1.0
WBC_gt_10k,1.0,0.6818181818181818,50,inf,1.6482358819750829,0.31241454913394556,1.0
left_shift,0.2,0.06060606060606061,5,3.875,1.5324768712979722,0.3135952025471146,1.0
rebound_tenderness,0.2,0.06060606060606061,5,3.875,1.5324768712979722,0.3135952025471146,1.0
symptom_duration_over_72h,0.0,0.2727272727272727,18,0.0,-1.4341022069392122,0.3198855690926873,1.0
pain_location_Other,0.2,0.09090909090909091,7,2.5,1.1322288994670946,0.4143959070681677,1.0
pain_location_RLQ,0.6,0.7272727272727273,51,0.5625,-0.6273208292379455,0.616126349270183,1.0
is_female_reproductive_age,0.4,0.2727272727272727,20,1.7777777777777777,0.6273208292379454,0.6161263492701832,1.0
nausea_vomiting,0.8,0.5909090909090909,43,2.769230769230769,0.7364976214335591,0.6417103990511762,1.0
RLQ_tenderness,0.8,0.6060606060606061,44,2.6,0.6744550475477928,0.6429587948732975,1.0
BUN_gt_25,0.0,0.12121212121212122,8,0.0,-0.4689346820568306,1.0,1.0
bilirubin_elevated,0.0,0.07575757575757576,5,0.0,0.016393809775676352,1.0,1.0
pain_location_Epigastric,0.0,0.06060606060606061,4,0.0,0.23319388716771114,1.0,1.0
creatinine_elevated,0.0,0.12121212121212122,8,0.0,-0.4689346820568306,1.0,1.0
WBC_gt_18k,0.0,0.09090909090909091,6,0.0,-0.1670540846631662,1.0,1.0
SIRS_criteria_ge_2,0.0,0.16666666666666666,11,0.0,-0.8238592874151861,1.0,1.0
age_gt_60,0.0,0.030303030303030304,2,0.0,0.8524792191292011,1.0,1.0
LFTs_elevated,0.0,0.16666666666666666,11,0.0,-0.8238592874151861,1.0,1.0
beta_hCG_positive,0.0,0.015151515151515152,1,0.0,1.3786897617346714,1.0,1.0
fever_temp_ge_37_3,0.0,0.12121212121212122,8,0.0,-0.4689346820568306,1.0,1.0
peritoneal_signs,0.2,0.18181818181818182,13,1.125,0.37385976869283327,1.0,1.0
fever_temp_ge_38,0.0,0.015151515151515152,1,0.0,1.3786897617346714,1.0,1.0
has_organ_dysfunction,0.0,0.09090909090909091,6,0.0,-0.1670540846631662,1.0,1.0
prior_diverticular_disease,0.0,0.030303030303030304,2,0.0,0.8524792191292011,1.0,1.0
gallstone_history,0.0,0.030303030303030304,2,0.0,0.8524792191292011,1.0,1.0
alcohol_history,0.0,0.06060606060606061,4,0.0,0.23319388716771114,1.0,1.0
anorexia,0.2,0.19696969696969696,14,1.0192307692307692,0.2783796797894675,1.0,1.0
pain_migration_to_RLQ,0.0,0.030303030303030304,2,0.0,0.8524792191292011,1.0,1.0
pain_location_RUQ,0.0,0.045454545454545456,3,0.0,0.5003816646049074,1.0,1.0
pain_location_Periumbilical,0.0,0.030303030303030304,2,0.0,0.8524792191292011,1.0,1.0
impaired_mental_status,0.0,0.015151515151515152,1,0.0,1.3786897617346714,1.0,1.0
RUQ_tenderness,0.0,0.09090909090909091,6,0.0,-0.1670540846631662,1.0,1.0
