feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
RUQ_tenderness,0.46774193548387094,0.7741935483870968,53,0.2563131313131313,-1.310925272493663,0.007246983149957297,0.2608913933984627
symptom_duration_over_72h,0.4838709677419355,0.2903225806451613,39,2.2916666666666665,0.7987101048815536,0.0809107281658816,1.0
RLQ_tenderness,0.0967741935483871,0.0,6,inf,1.980696265140729,0.17349475959637176,1.0
nausea_vomiting,0.8387096774193549,0.7096774193548387,74,2.1272727272727274,0.7472144018302211,0.17642512390855108,1.0
BUN_gt_25,0.20967741935483872,0.0967741935483871,16,2.4761904761904763,0.797858134648976,0.24677203760383853,1.0
pain_location_Other,0.11290322580645161,0.03225806451612903,8,3.8181818181818183,1.0107815752950775,0.2613478628179665,1.0
WBC_gt_10k,0.5806451612903226,0.7096774193548387,58,0.5664335664335665,-0.54205598300761,0.2623503339751677,1.0
prior_diverticular_disease,0.06451612903225806,0.0,4,inf,1.5781853689299958,0.2972872538089929,1.0
fever_reported_in_hpi,0.20967741935483872,0.3225806451612903,23,0.5571428571428572,-0.5826053061601215,0.30835085556045316,1.0
WBC_gt_18k,0.16129032258064516,0.06451612903225806,12,2.7884615384615383,0.8586616190375187,0.3251328078842177,1.0
pain_location_LUQ,0.0,0.03225806451612903,1,0.0,-1.8160521617970997,0.33333333333333337,1.0
rebound_tenderness,0.0,0.03225806451612903,1,0.0,-1.8160521617970997,0.33333333333333337,1.0
epigastric_radiating_to_back,0.08064516129032258,0.12903225806451613,9,0.5921052631578947,-0.5369282476686279,0.47494868084072417,1.0
gallstone_history,0.27419354838709675,0.3548387096774194,28,0.6868686868686869,-0.3774335942522783,0.476185476859277,1.0
bowel_habit_change,0.3387096774193548,0.25806451612903225,29,1.4725609756097562,0.359293765550807,0.48394974938057056,1.0
impaired_mental_status,0.04838709677419355,0.0,3,inf,1.3099213823353166,0.5482560917343525,1.0
pain_location_General_Abdomen,0.04838709677419355,0.0,3,inf,1.3099213823353166,0.5482560917343525,1.0
has_organ_dysfunction,0.1774193548387097,0.22580645161290322,18,0.7394957983193278,-0.31546467529206956,0.5877725618202505,1.0
bilirubin_elevated,0.1774193548387097,0.22580645161290322,18,0.7394957983193278,-0.31546467529206956,0.5877725618202505,1.0
pain_location_RUQ,0.7741935483870968,0.8387096774193549,74,0.6593406593406593,-0.3649814922368424,0.5896186318524034,1.0
RUQ_mass,0.03225806451612903,0.06451612903225806,4,0.48333333333333334,-0.7182531016910216,0.5984498593194245,1.0
lipase_ge_3xULN,0.06451612903225806,0.03225806451612903,5,2.0689655172413794,0.44731221804366483,0.6616150499882791,1.0
alcohol_history,0.0967741935483871,0.06451612903225806,8,1.5535714285714286,0.30566107022081523,0.7143878402896138,1.0
SIRS_criteria_ge_2,0.0967741935483871,0.06451612903225806,8,1.5535714285714286,0.30566107022081523,0.7143878402896138,1.0
age_gt_60,0.22580645161290322,0.1935483870967742,20,1.2152777777777777,0.15946112674588028,0.7946039198460478,1.0
LFTs_elevated,0.5645161290322581,0.6129032258064516,54,0.8187134502923976,-0.18933912945260123,0.8238844228621607,1.0
fever_temp_ge_38,0.016129032258064516,0.0,1,inf,0.4295626596872249,1.0,1.0
fever_temp_ge_37_3,0.08064516129032258,0.06451612903225806,7,1.2719298245614035,0.12106267590673961,1.0,1.0
murphys_sign,0.016129032258064516,0.0,1,inf,0.4295626596872249,1.0,1.0
left_shift,0.016129032258064516,0.03225806451612903,2,0.4918032786885246,-0.7013104911991063,1.0,1.0
anorexia,0.11290322580645161,0.12903225806451613,11,0.8590909090909091,-0.19137139231387248,1.0,1.0
creatinine_elevated,0.24193548387096775,0.22580645161290322,22,1.094224924012158,0.06388040989302197,1.0,1.0
is_female_reproductive_age,0.08064516129032258,0.0967741935483871,8,0.8187134502923976,-0.24989573678564272,1.0,1.0
pain_location_RLQ,0.016129032258064516,0.03225806451612903,2,0.4918032786885246,-0.7013104911991063,1.0,1.0
peritoneal_signs,0.08064516129032258,0.0967741935483871,8,0.8187134502923976,-0.24989573678564272,1.0,1.0
pain_location_Epigastric,0.04838709677419355,0.06451612903225806,5,0.7372881355932204,-0.365113812584597,1.0,1.0
