feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
LFTs_elevated,0.9310344827586207,0.421875,54,18.5,2.70805020110221,2.4983954934546332e-06,8.994223776436679e-05
RUQ_tenderness,0.7586206896551724,0.484375,53,3.345622119815668,1.1601701816675432,0.014478615036902039,0.18580423523661127
anorexia,0.0,0.171875,11,0.0,-2.5402028253729627,0.015483686269717606,0.18580423523661127
pain_location_General_Abdomen,0.10344827586206896,0.0,3,inf,2.8354306398648634,0.028158377386988884,0.25342539648289997
creatinine_elevated,0.3793103448275862,0.171875,22,2.9444444444444446,1.0619109218176819,0.03726275403801197,0.2682918290736862
pain_location_Other,0.0,0.125,8,0.0,-2.183362969249595,0.05388756958268779,0.32332541749612675
has_organ_dysfunction,0.3103448275862069,0.140625,18,2.75,0.9959581346080264,0.08683178794954846,0.409884068510987
left_shift,0.06896551724137931,0.0,2,inf,2.4619171315633017,0.09490416082281439,0.409884068510987
alcohol_history,0.1724137931034483,0.046875,8,4.236111111111111,1.372349181004848,0.10247101712774676,0.409884068510987
gallstone_history,0.41379310344827586,0.25,28,2.1176470588235294,0.7417311804156896,0.14409874535716408,0.5187554832857907
bowel_habit_change,0.41379310344827586,0.265625,29,1.9515570934256055,0.6620565934899142,0.2264363893282687,0.7410645468925158
BUN_gt_25,0.2413793103448276,0.140625,16,1.9444444444444444,0.666478933477784,0.2482829583442201,0.7448488750326603
prior_diverticular_disease,0.0,0.0625,4,0.0,-1.4789714756451977,0.3058438522674146,0.8018433179723504
fever_temp_ge_38,0.034482758620689655,0.0,1,inf,1.9153734251952317,0.31182795698924737,0.8018433179723504
age_gt_60,0.27586206896551724,0.1875,20,1.6507936507936507,0.5070977536519763,0.4154185916371278,0.9619780618150324
is_female_reproductive_age,0.034482758620689655,0.109375,8,0.29081632653061223,-0.9075570519054005,0.4275458052511255,0.9619780618150324
WBC_gt_18k,0.1724137931034483,0.109375,12,1.6964285714285714,0.5429569019487839,0.5060751197217758,1.0
bilirubin_elevated,0.2413793103448276,0.171875,18,1.5330578512396693,0.43872232986464677,0.5715716333729941,1.0
RUQ_mass,0.06896551724137931,0.03125,4,2.2962962962962963,0.8209805520698303,0.5861761426978818,1.0
lipase_ge_3xULN,0.06896551724137931,0.046875,5,1.5061728395061729,0.4683789335187336,0.6454598975361066,1.0
pain_location_Epigastric,0.06896551724137931,0.046875,5,1.5061728395061729,0.4683789335187336,0.6454598975361066,1.0
SIRS_criteria_ge_2,0.10344827586206896,0.078125,8,1.3615384615384616,0.35684645581635027,0.7011079868125345,1.0
peritoneal_signs,0.10344827586206896,0.078125,8,1.3615384615384616,0.35684645581635027,0.7011079868125345,1.0
nausea_vomiting,0.8275862068965517,0.78125,74,1.344,0.2461003384574707,0.7829296275756503,1.0
pain_location_RUQ,0.8275862068965517,0.78125,74,1.344,0.2461003384574707,0.7829296275756503,1.0
symptom_duration_over_72h,0.4482758620689655,0.40625,39,1.1875,0.17284281283941083,0.8211513302091062,1.0
impaired_mental_status,0.034482758620689655,0.03125,3,1.1071428571428572,0.27443684570176036,1.0,1.0
WBC_gt_10k,0.6206896551724138,0.625,58,0.9818181818181818,-0.02720515984673741,1.0,1.0
fever_temp_ge_37_3,0.06896551724137931,0.078125,7,0.8740740740740741,-0.016667052485211647,1.0,1.0
rebound_tenderness,0.0,0.015625,1,0.0,-0.3319626461152378,1.0,1.0
RLQ_tenderness,0.06896551724137931,0.0625,6,1.1111111111111112,0.20067069546215124,1.0,1.0
murphys_sign,0.0,0.015625,1,0.0,-0.3319626461152378,1.0,1.0
epigastric_radiating_to_back,0.10344827586206896,0.09375,9,1.1153846153846154,0.17284281283941083,1.0,1.0
pain_location_RLQ,0.0,0.03125,2,0.0,-0.8586616190375187,1.0,1.0
pain_location_LUQ,0.0,0.015625,1,0.0,-0.3319626461152378,1.0,1.0
fever_reported_in_hpi,0.2413793103448276,0.25,23,0.9545454545454546,-0.020408871631207123,1.0,1.0
