feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
WBC_gt_18k,0.05263157894736842,0.375,7,0.09259259259259259,-2.0327325437142285,0.03182085858916324,0.6364214206260923
pain_location_LLQ,0.47368421052631576,0.125,11,6.3,1.657774458995391,0.03535674559033846,0.6364214206260923
peritoneal_signs,0.05263157894736842,0.25,5,0.16666666666666666,-1.4906543764441333,0.15579486926735503,1.0
pain_location_Periumbilical,0.0,0.125,2,0.0,-1.9057037285772729,0.2016806722689075,1.0
pain_location_Other,0.10526315789473684,0.3125,7,0.25882352941176473,-1.2083112059245342,0.20745272525027808,1.0
bowel_habit_change,0.47368421052631576,0.6875,20,0.4090909090909091,-0.8376824016877616,0.30635649916977,1.0
pain_location_Pelvic,0.05263157894736842,0.1875,4,0.24074074074074073,-1.1623789070270991,0.3119938884644766,1.0
WBC_gt_10k,0.6842105263157895,0.8125,26,0.5,-0.6190392084062235,0.4604914551521893,1.0
pain_location_RUQ,0.10526315789473684,0.0,2,inf,1.550597412411167,0.48907563025210077,1.0
left_shift,0.05263157894736842,0.125,3,0.3888888888888889,-0.754447706423741,0.5819709702062641,1.0
alcohol_history,0.05263157894736842,0.125,3,0.3888888888888889,-0.754447706423741,0.5819709702062641,1.0
pain_location_RLQ,0.10526315789473684,0.1875,5,0.5098039215686274,-0.5959834321062977,0.6418098031001257,1.0
has_organ_dysfunction,0.15789473684210525,0.25,7,0.5625,-0.5289461648791856,0.6772171099201133,1.0
LFTs_elevated,0.2631578947368421,0.375,11,0.5952380952380952,-0.48982747692621725,0.7159510567296994,1.0
nausea_vomiting,0.5263157894736842,0.4375,17,1.4285714285714286,0.3364722366212129,0.7379863063859775,1.0
symptom_duration_over_72h,0.5263157894736842,0.4375,17,1.4285714285714286,0.3364722366212129,0.7379863063859775,1.0
BUN_gt_25,0.3684210526315789,0.3125,12,1.2833333333333334,0.22677331936478853,1.0,1.0
lipase_ge_3xULN,0.05263157894736842,0.0,1,inf,0.9842019374903656,1.0,1.0
pain_location_Epigastric,0.05263157894736842,0.0,1,inf,0.9842019374903656,1.0,1.0
creatinine_elevated,0.3684210526315789,0.375,13,0.9722222222222222,-0.031252543504104426,1.0,1.0
SIRS_criteria_ge_2,0.10526315789473684,0.125,4,0.8235294117647058,-0.1880522315029396,1.0,1.0
age_gt_60,0.15789473684210525,0.125,5,1.3125,0.20726050514120667,1.0,1.0
is_female_reproductive_age,0.05263157894736842,0.0,1,inf,0.9842019374903656,1.0,1.0
bilirubin_elevated,0.10526315789473684,0.0625,3,1.7647058823529411,0.3894647667617233,1.0,1.0
CRP_gt_200,0.05263157894736842,0.0,1,inf,0.9842019374903656,1.0,1.0
fever_temp_ge_37_3,0.05263157894736842,0.0,1,inf,0.9842019374903656,1.0,1.0
impaired_mental_status,0.05263157894736842,0.0625,2,0.8333333333333334,-0.17693070815907821,1.0,1.0
fever_temp_ge_38,0.05263157894736842,0.0,1,inf,0.9842019374903656,1.0,1.0
RUQ_mass,0.05263157894736842,0.0,1,inf,0.9842019374903656,1.0,1.0
rebound_tenderness,0.05263157894736842,0.0625,2,0.8333333333333334,-0.17693070815907821,1.0,1.0
RLQ_tenderness,0.21052631578947367,0.1875,7,1.1555555555555554,0.11316408980008884,1.0,1.0
prior_diverticular_disease,0.21052631578947367,0.1875,7,1.1555555555555554,0.11316408980008884,1.0,1.0
anorexia,0.10526315789473684,0.125,4,0.8235294117647058,-0.1880522315029396,1.0,1.0
pain_location_General_Abdomen,0.10526315789473684,0.0625,3,1.7647058823529411,0.3894647667617233,1.0,1.0
CRP_elevated,0.10526315789473684,0.0625,3,1.7647058823529411,0.3894647667617233,1.0,1.0
RUQ_tenderness,0.10526315789473684,0.0625,3,1.7647058823529411,0.3894647667617233,1.0,1.0
