feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
RUQ_tenderness,0.2608695652173913,0.03125,19,10.941176470588236,2.0207113621380115,0.005452113705829546,0.11958922451891037
pain_location_Other,0.17391304347826086,0.0,12,inf,2.6483309664005876,0.008762333102066875,0.11958922451891037
lipase_ge_3xULN,0.7101449275362319,0.9375,79,0.16333333333333333,-1.6198881683089288,0.009696423609641382,0.11958922451891037
pain_location_Epigastric,0.2753623188405797,0.53125,36,0.3352941176470588,-1.0729197277158804,0.015259756302625308,0.1411527457992841
fever_temp_ge_37_3,0.0,0.09375,3,0.0,-2.8028466382802857,0.02976297629762976,0.1920854433736301
LFTs_elevated,0.6666666666666666,0.875,74,0.2857142857142857,-1.1633747990551333,0.03114899081734542,0.1920854433736301
epigastric_radiating_to_back,0.11594202898550725,0.28125,17,0.33515482695810567,-1.0732623887725834,0.04873056883494267,0.25757586384183984
pain_location_RUQ,0.463768115942029,0.28125,41,2.21021021021021,0.7626077789029448,0.1266897989847346,0.4986475430330466
nausea_vomiting,0.7246376811594203,0.875,78,0.37593984962406013,-0.8942678197867178,0.12703225539235757,0.4986475430330466
symptom_duration_over_72h,0.42028985507246375,0.59375,48,0.49605263157894736,-0.6846364908920367,0.13476960622514772,0.4986475430330466
BUN_gt_25,0.21739130434782608,0.09375,18,2.685185185185185,0.8742666171064087,0.16798720632400665,0.5024409028523809
prior_diverticular_disease,0.08695652173913043,0.0,6,inf,1.8951495408985826,0.17283505754320433,0.5024409028523809
has_organ_dysfunction,0.2898550724637681,0.4375,34,0.5247813411078717,-0.6379257007725317,0.17653329019137703,0.5024409028523809
bowel_habit_change,0.4782608695652174,0.34375,44,1.75,0.5399390780069877,0.28104709706216724,0.6632402443554546
is_female_reproductive_age,0.2318840579710145,0.125,20,2.1132075471698113,0.6695054175029049,0.2861733945386669,0.6632402443554546
peritoneal_signs,0.057971014492753624,0.0,4,inf,1.496414524030705,0.30436537531304153,0.6632402443554546
pain_location_Periumbilical,0.0,0.03125,1,0.0,-1.8899514954072687,0.3168316831683168,0.6632402443554546
pain_location_LUQ,0.028985507246376812,0.09375,5,0.2885572139303483,-1.1642095711539229,0.3226574161729238,0.6632402443554546
anorexia,0.08695652173913043,0.03125,7,2.9523809523809526,0.7652847087263686,0.426601790789109,0.8307508557472122
bilirubin_elevated,0.34782608695652173,0.4375,38,0.6857142857142857,-0.375417125748473,0.5081858034000675,0.9203702338160172
pain_location_Pelvic,0.014492753623188406,0.03125,2,0.45588235294117646,-0.7768461994365923,0.5354455445544555,0.9203702338160172
left_shift,0.043478260869565216,0.0,3,inf,1.2299482907291965,0.5495229522952294,0.9203702338160172
age_gt_60,0.14492753623188406,0.1875,16,0.7344632768361582,-0.32925849929752127,0.5721220372369837,0.9203702338160172
creatinine_elevated,0.18840579710144928,0.25,21,0.6964285714285714,-0.3729439986536009,0.5988588960410974,0.9232407980633585
impaired_mental_status,0.07246376811594203,0.03125,6,2.421875,0.5826053061601215,0.6616594417699713,0.9792559738195575
WBC_gt_10k,0.4927536231884058,0.53125,51,0.8571428571428571,-0.14993422944832344,0.831252559092629,1.0
WBC_gt_18k,0.07246376811594203,0.0625,7,1.171875,0.03951882017590933,1.0,1.0
CRP_elevated,0.028985507246376812,0.0,2,inf,0.878550403891308,1.0,1.0
CRP_gt_200,0.014492753623188406,0.0,1,inf,0.35301863273562184,1.0,1.0
pain_location_General_Abdomen,0.028985507246376812,0.03125,3,0.9253731343283582,-0.25131442828090605,1.0,1.0
murphys_sign,0.014492753623188406,0.0,1,inf,0.35301863273562184,1.0,1.0
gallstone_history,0.18840579710144928,0.1875,19,1.005952380952381,-0.026208396617426393,1.0,1.0
alcohol_history,0.2028985507246377,0.1875,20,1.103030303030303,0.06310818476472496,1.0,1.0
SIRS_criteria_ge_2,0.08695652173913043,0.0625,8,1.4285714285714286,0.22219822274215625,1.0,1.0
pain_location_RLQ,0.014492753623188406,0.0,1,inf,0.35301863273562184,1.0,1.0
RLQ_tenderness,0.028985507246376812,0.0,2,inf,0.878550403891308,1.0,1.0
rebound_tenderness,0.014492753623188406,0.0,1,inf,0.35301863273562184,1.0,1.0
