feature,rate_when_gap,rate_when_no_gap,n_feat_pos,odds_ratio,log_odds_ratio_smoothed,p_value,bh_q
lipase_ge_3xULN,0.972972972972973,0.671875,79,17.58139534883721,2.48713914951926,0.0002880298129581728,0.010657103079452394
pain_location_Epigastric,0.5135135135135135,0.265625,36,2.918300653594771,1.051172563596549,0.017485032611120086,0.3234731033057216
fever_temp_ge_37_3,0.08108108108108109,0.0,3,inf,2.571616048819726,0.04662466246624662,0.575037503750375
prior_diverticular_disease,0.0,0.09375,6,0.0,-2.120263536200091,0.08300579689780464,0.6269573569234267
WBC_gt_10k,0.6216216216216216,0.4375,51,2.1122448979591835,0.7302599450374255,0.09883960408182155,0.6269573569234267
LFTs_elevated,0.8378378378378378,0.671875,74,2.5232558139534884,0.8734773659689747,0.10166876058217729,0.6269573569234267
pain_location_Other,0.05405405405405406,0.15625,12,0.30857142857142855,-1.0064165201014943,0.20187807896022592,0.9585460369195697
bilirubin_elevated,0.4594594594594595,0.328125,38,1.7404761904761905,0.5464839977461272,0.20725319717179885,0.9585460369195697
WBC_gt_18k,0.10810810810810811,0.046875,7,2.4646464646464645,0.8588061642623575,0.2564455968114446,0.9825148514851486
pain_location_General_Abdomen,0.0,0.046875,3,0.0,-1.4512139072192063,0.2966336633663367,0.9825148514851486
rebound_tenderness,0.02702702702702703,0.0,1,inf,1.6679652518813908,0.36633663366336633,0.9825148514851486
epigastric_radiating_to_back,0.21621621621621623,0.140625,17,1.685823754789272,0.5207671222963903,0.4097336406471287,0.9825148514851486
impaired_mental_status,0.02702702702702703,0.078125,6,0.3277777777777778,-0.8106189321671226,0.41066348166480854,0.9825148514851486
BUN_gt_25,0.13513513513513514,0.203125,18,0.6129807692307693,-0.4375998748719599,0.43349749489822503,0.9825148514851486
creatinine_elevated,0.16216216216216217,0.234375,21,0.632258064516129,-0.4170527232805522,0.4536272074154116,0.9825148514851486
nausea_vomiting,0.7297297297297297,0.796875,78,0.6882352941176471,-0.37608137471625874,0.4676034744854479,0.9825148514851486
has_organ_dysfunction,0.3783783783783784,0.3125,34,1.3391304347826087,0.29221253130424746,0.519386442202307,0.9825148514851486
RLQ_tenderness,0.0,0.03125,2,0.0,-1.0986122886681098,0.5310891089108911,0.9825148514851486
pain_location_Pelvic,0.0,0.03125,2,0.0,-1.0986122886681098,0.5310891089108911,0.9825148514851486
CRP_elevated,0.0,0.03125,2,0.0,-1.0986122886681098,0.5310891089108911,0.9825148514851486
alcohol_history,0.16216216216216217,0.21875,20,0.6912442396313364,-0.3303606820752106,0.6079045206687906,1.0
pain_location_LUQ,0.02702702702702703,0.0625,5,0.4166666666666667,-0.5932811842197597,0.6496823172744373,1.0
is_female_reproductive_age,0.21621621621621623,0.1875,20,1.1954022988505748,0.19076042543981928,0.7976281397000211,1.0
anorexia,0.05405405405405406,0.078125,7,0.6742857142857143,-0.27201374429405617,1.0,1.0
age_gt_60,0.16216216216216217,0.15625,16,1.0451612903225806,0.06864007557572473,1.0,1.0
SIRS_criteria_ge_2,0.08108108108108109,0.078125,8,1.0411764705882354,0.0930318647712128,1.0,1.0
pain_location_Periumbilical,0.0,0.015625,1,0.0,-0.5719133157458289,1.0,1.0
pain_location_RLQ,0.0,0.015625,1,0.0,-0.5719133157458289,1.0,1.0
left_shift,0.02702702702702703,0.03125,3,0.8611111111111112,0.02702867238791942,1.0,1.0
symptom_duration_over_72h,0.4864864864864865,0.46875,48,1.0736842105263158,0.07058890693852621,1.0,1.0
pain_location_RUQ,0.40540540540540543,0.40625,41,0.9965034965034965,0.0008382230163884294,1.0,1.0
peritoneal_signs,0.02702702702702703,0.046875,4,0.5648148148148148,-0.3255729461631772,1.0,1.0
murphys_sign,0.0,0.015625,1,0.0,-0.5719133157458289,1.0,1.0
bowel_habit_change,0.43243243243243246,0.4375,44,0.9795918367346939,-0.01728438091324117,1.0,1.0
gallstone_history,0.1891891891891892,0.1875,19,1.011111111111111,0.03226086221822148,1.0,1.0
CRP_gt_200,0.0,0.015625,1,0.0,-0.5719133157458289,1.0,1.0
RUQ_tenderness,0.1891891891891892,0.1875,19,1.011111111111111,0.03226086221822148,1.0,1.0
