condition,disease,n_patients,exact_match_rate,has_commission_rate,has_omission_rate,has_order_swap_rate,mean_llm_length,mean_actual_length,mean_n_commission,mean_n_omission
llm_features_only,ALL,30,0.1,0.5,0.667,0.033,2.83,3.23,0.57,0.83
llm_full,ALL,30,0.1,0.533,0.467,0.067,2.4,3.23,0.6,0.5
rubric_only,ALL,30,0.067,0.533,0.433,0.0,2.3,3.23,0.73,0.53
llm_features_only,appendicitis,8,0.25,0.375,0.25,0.0,2.38,2.88,0.38,0.38
llm_full,appendicitis,8,0.375,0.125,0.625,0.0,2.88,2.88,0.12,0.62
rubric_only,appendicitis,8,0.25,0.25,0.625,0.0,2.75,2.88,0.25,0.62
llm_features_only,cholecystitis,8,0.0,0.75,1.0,0.0,3.0,3.25,0.75,1.12
llm_full,cholecystitis,8,0.0,0.625,0.75,0.125,2.88,3.25,0.62,0.88
rubric_only,cholecystitis,8,0.0,0.75,0.375,0.0,2.12,3.25,1.0,0.5
llm_features_only,diverticulitis,6,0.167,0.167,0.333,0.167,3.17,3.33,0.17,0.67
llm_full,diverticulitis,6,0.0,0.333,0.0,0.0,2.0,3.33,0.33,0.0
rubric_only,diverticulitis,6,0.0,0.5,0.0,0.0,1.67,3.33,0.67,0.0
llm_features_only,pancreatitis,8,0.0,0.625,1.0,0.0,2.88,3.5,0.88,1.12
llm_full,pancreatitis,8,0.0,1.0,0.375,0.125,1.75,3.5,1.25,0.38
rubric_only,pancreatitis,8,0.0,0.625,0.625,0.0,2.5,3.5,1.0,0.88
